contig,contig_length,hits_per_contig,cov,GC-content,Average_AAI,closest_blast_hits
PCITRI_00001,1541683,0.053837267453815084,Unknown,32.830095421691745,67.84939759036145,Trachymyrmex septentrionalis; Columba livia; Cynoglossus semilaevis; Notothenia coriiceps; Parasteatoda tepidariorum; Cryptotermes secundus; Columba livia; NA; Nephila clavipes; Myzus persicae; Myzus persicae; Nephila clavipes; Apis florea; Sarcophilus harrisii; Dufourea novaeangliae; Anoplophora glabripennis; Apaloderma vittatum; Exaiptasia pallida; Wasmannia auropunctata; Pomacea canaliculata; Diaphorina citri; Haliaeetus albicilla; Drosophila silvestris; Wolbachia endosymbiont of Nasonia longicornis; Pan troglodytes; Amblyomma variegatum; Nilaparvata lugens; Nephila clavipes; Nephila clavipes; Temnothorax curvispinosus; Dendroctonus ponderosae; Diuraphis noxia; Nilaparvata lugens; Cu-Zn; Blattella germanica; Trichomalopsis sarcophagae; Nilaparvata lugens; Agrilus planipennis; Aedes aegypti; Pseudomonas pelagia; Polistes canadensis; Bicyclus anynana; Bicyclus anynana; Mesocricetus auratus; Apis mellifera; Zootermopsis nevadensis; Diaphorina citri; Biomphalaria glabrata; Zootermopsis nevadensis; Bicyclus anynana; Meleagris gallopavo; Zootermopsis nevadensis; Danaus plexippus plexippus; Gambusia affinis; Oncorhynchus mykiss; Blattella germanica; Cryptotermes secundus; Solemya velum gill symbiont; Riptortus pedestris; ubiquinone; Tribolium castaneum; Zootermopsis nevadensis; Cryptotermes secundus; Papilio polytes; Bemisia tabaci; Halyomorpha halys; Lucilia cuprina; Stegodyphus mimosarum; Anoplophora glabripennis; Bemisia tabaci; Drosophila rhopaloa; Oncorhynchus kisutch; Pediculus humanus corporis; Oryctes borbonicus; Diuraphis noxia; Lasius niger; Anopheles gambiae; Daphnia magna; Goniops chrysocoma; Teladorsagia circumcincta; Sipha flava; Oryctes borbonicus; Aedes albopictus; 
PCITRI_00002,1021801,0.039146565720722525,Unknown,33.759900411136805,55.2725,Halyomorpha halys; Blattella germanica; Rattus norvegicus; Sphaeroforma arctica JP610; Drosophila simulans; Maconellicoccus hirsutus; Parasteatoda tepidariorum; Pediculus humanus corporis; Rhizophagus irregularis DAOM 181602=DAOM 197198; Nilaparvata lugens; Nilaparvata lugens; Acyrthosiphon pisum; Cervus elaphus hippelaphus; Blattella germanica; Volvox carteri f. nagariensis; Lottia gigantea; Nannospalax galili; Salmo salar; Colius striatus; Cloeon dipterum; Nilaparvata lugens; Sipha flava; Nilaparvata lugens; Cyprinus carpio; NA; Nilaparvata lugens; Sipha flava; Acyrthosiphon pisum; Trachymyrmex zeteki; Solenopsis invicta; Dendroctonus ponderosae; Diaphorina citri; Cryptotermes secundus; Cryptotermes secundus; Ixodes scapularis; Acyrthosiphon pisum; Deinococcus misasensis; Deinococcus misasensis; Deinococcus misasensis; Deinococcus misasensis; 
PCITRI_00003,965406,0.05075584779874996,Unknown,32.49316867721974,60.06122448979592,Nilaparvata lugens; Amphimedon queenslandica; Cyprinus carpio; uncultured bacterium; Stegodyphus mimosarum; Daphnia pulex; Bemisia tabaci; Rattus norvegicus; Cryptotermes secundus; Zootermopsis nevadensis; Bicyclus anynana; Limosa lapponica baueri; Diaphorina citri; Blattella germanica; Blattella germanica; Blattella germanica; Dendrolimus houi; Melanaphis sacchari; Acromyrmex echinatior; Pseudomyrmex gracilis; Cryptotermes secundus; Cryptotermes secundus; Nilaparvata lugens; Boleophthalmus pectinirostris; Trachymyrmex septentrionalis; Oryctes borbonicus; Aedes albopictus; Cydia pomonella; Lasius niger; Bombyx mori; Helicoverpa armigera; Cyprinus carpio; Blattella germanica; Plutella xylostella; Cimex lectularius; Drosophila suzukii; Cimex lectularius; Heliothis virescens; Aedes aegypti; Diaphorina citri; Papilio machaon; Protobothrops mucrosquamatus; Homo sapiens; Crassostrea gigas; Oryctes borbonicus; Nilaparvata lugens; Bos taurus; Biomphalaria glabrata; Ornithorhynchus anatinus; 
PCITRI_00004,934136,0.04282031738419245,Unknown,32.90580814784999,59.025,Acyrthosiphon pisum; Cryptotermes secundus; Bemisia tabaci; Bemisia tabaci; Diuraphis noxia; Nilaparvata lugens; NA; NA; Maconellicoccus hirsutus; Limulus polyphemus; Dendroctonus ponderosae; FAD, quinone; FAD, quinone; Bicyclus anynana; Solenopsis invicta; Calopteryx haemorrhoidalis; Drosophila busckii; Heliothis virescens; Anoplophora glabripennis; Drosophila suzukii; Helicoverpa armigera; Rhagoletis zephyria; Scleropages formosus; Scleropages formosus; Onthophagus taurus; Kryptolebias marmoratus; Lepidocampa weberi; Heliothis virescens; Centruroides sculpturatus; Cryptotermes secundus; Ancylostoma ceylanicum; Athalia rosae; Meleagris gallopavo; Diaphorina citri; Homo sapiens; Aedes albopictus; Nematostella vectensis; Acyrthosiphon pisum; Octopus bimaculoides; Nematostella vectensis; 
PCITRI_00005,837509,0.02149230635133473,Unknown,33.403939539754205,56.18888888888889,Schistocerca americana; Blattella germanica; Nephila clavipes; Diaphorina citri; Harpegnathos saltator; Teladorsagia circumcincta; Parasponia andersonii; Chlamydotis macqueenii; Impatiophila aspidosternata; Culex quinquefasciatus; Culex quinquefasciatus; Blattella germanica; Musca domestica; Sinocyclocheilus grahami; Crassostrea virginica; Vigna angularis; Cajanus cajan; Crassostrea virginica; 
PCITRI_00006,816821,0.008569809052411727,Unknown,35.33724035008895,57.82857142857143,Melanaphis sacchari; Bemisia tabaci; Stylophora pistillata; Papilio machaon; Ixodes scapularis; Pediculus humanus corporis; Nilaparvata lugens; 
PCITRI_00007,771463,0.022036053576127437,Unknown,33.59707464907585,52.88235294117647,Lasius niger; Heliothis virescens; Apostichopus japonicus; Cryptotermes secundus; NA; Solemya velum gill symbiont; Cryptotermes secundus; Acinetobacter baumannii; Blattella germanica; Lasius niger; Cryptotermes secundus; Blattella germanica; Amyelois transitella; Paramormyrops kingsleyae; Columba livia; Helicoverpa armigera; Neodiprion lecontei; 
PCITRI_00008,762207,0.027551570636323203,Unknown,33.79200138545041,51.9,Carabus uenoi; Aedes aegypti; Rhagoletis zephyria; Plutella xylostella; Clupea pallasi=herring, testis, sperm, Peptide Transposon, 175 aa; Heliothis virescens; Diaphorina citri; Zootermopsis nevadensis; Folsomia candida; spotted fever group; Euroglyphus maynei; FAD, quinone; Euroglyphus maynei; Oeneis magna dubia; Blattella germanica; Ceratosolen solmsi marchali; Bemisia tabaci; Bemisia tabaci; Bemisia tabaci; Diuraphis noxia; Aedes albopictus; 
PCITRI_00009,761307,0.03940591640428894,Unknown,33.170980957747666,58.27,Bemisia tabaci; Teladorsagia circumcincta; Limulus polyphemus; Nilaparvata lugens; Toxocara canis; Diaphorina citri; Solemya velum gill symbiont; Diaphorina citri; Hippocampus comes; Patagioenas fasciata monilis; Eufriesea mexicana; Eurytemora affinis; Lasius niger; Blattella germanica; Melanaphis sacchari; Amyelois transitella; Crassostrea gigas; Nilaparvata lugens; Nilaparvata lugens; Bemisia tabaci; Temnothorax curvispinosus; Musca domestica; Nilaparvata lugens; Wuchereria bancrofti; Onthophagus taurus; Calidris pugnax; Spodoptera litura; Lasius niger; Stegodyphus mimosarum; Sinocyclocheilus anshuiensis; 
PCITRI_00010,747543,0.044144617767807336,Unknown,33.3520613529924,66.5939393939394,Zootermopsis nevadensis; Pseudomonas pelagia; Ovis aries musimon; Rhagoletis zephyria; Basidiobolus meristosporus CBS 931.73; Maconellicoccus hirsutus; Dendroctonus ponderosae; Leptinotarsa decemlineata; Blattella germanica; Oryctes borbonicus; Operophtera brumata; Camponotus floridanus; Cyprinus carpio; Sinocyclocheilus rhinocerous; Ornithorhynchus anatinus; Diaphorina citri; Tetraodon nigroviridis; Oncorhynchus kisutch; Poecilia mexicana; Diaphorina citri; Halyomorpha halys; Pan troglodytes; Operophtera brumata; Stegodyphus mimosarum; Diuraphis noxia; Diaphorina citri; Cryptotermes secundus; Bemisia tabaci; Operophtera brumata; Myzus persicae; Cryptotermes secundus; Zootermopsis nevadensis; Cimex lectularius; 
