contig,contig_length,hits_per_contig,cov,GC-content,Average_AAI,closest_blast_hits
Contig_source1382A_91,228265,0.9594112106542835,Unknown,57.16163231332004,95.72511415525115,Marinobacter sp. N4; unclassified Marinobacter; Gammaproteobacteria; Marinobacter sp. DSM 26671; Marinobacter sp. YWL01; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. DSM 26671; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter salarius; Marinobacter; unclassified Marinobacter; Marinobacter salarius; unclassified Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter; 3-hydroxymyristoyl; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter pelagius; Marinobacter pelagius; Marinobacter pelagius; Marinobacter pelagius; Marinobacter sp.; Marinobacter sp.; Marinobacter pelagius; Marinobacter pelagius; Marinobacter sp.; Marinobacter; Marinobacter sp. JB02H27; Marinobacter sp.; unclassified Marinobacter; Marinobacter algicola DG893; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; unclassified Marinobacter; Marinobacter salarius; Marinobacter algicola; unclassified Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter algicola; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter vulgaris; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; unclassified Marinobacter; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter algicola DG893; Marinobacter algicola; Marinobacter sp.; Marinobacter sp. HL-58; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. HL-58; acyl-carrier-protein; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; Marinobacter algicola DG893; Marinobacter algicola; Marinobacter sp. MCTG268; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter halotolerans; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola DG893; Marinobacter salarius; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter sp. DS40M8; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter adhaerens; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter salarius; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter adhaerens; 
Contig_source1382A_107,215816,0.875746005856841,Unknown,55.78548393075583,93.62116402116402,Marinobacter adhaerens; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter; unclassified Marinobacter; Marinobacter; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola DG893; Marinobacter salarius; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter sp. NP-6; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter salarius; Marinobacter sp. C18; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter; unclassified Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp. DS40M8; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; unclassified Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. DS40M8; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. JB02H27; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; unclassified Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; unclassified Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter sp. DS40M8; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter sp.; unclassified Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter halophilus; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter halophilus; Marinobacter sp.; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Scytonema sp. NIES-4073; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter halophilus; Marinobacter halophilus; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter fuscus; Candidatus Aminicenantes bacterium; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter subterrani; Marinobacter subterrani; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter halophilus; Marinobacter sp. JB02H27; Marinobacter sp. JB02H27; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter subterrani; Marinobacter sp.; Marinobacter sp. C18; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. C18; Marinobacter; Marinobacter sp.; Marinobacter lipolyticus; Marinobacter; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter sp. DS40M8; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter algicola DG893; Marinobacter; Marinobacter sp.; Marinobacter sp.; 
Contig_source1382A_138,190395,0.9454029780193807,Unknown,58.04826807426665,96.08222222222223,Marinobacter salarius; Marinobacter salarius; Marinobacter salarius; Marinobacter salarius; Marinobacter algicola; Marinobacter salarius; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola DG893; Marinobacter salarius; Marinobacter algicola; Marinobacter algicola; Marinobacter sp. MCTG268; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; unclassified Marinobacter; Marinobacter; Marinobacter sp. MCTG268; unclassified Marinobacter; Marinobacter; Marinobacter sp. MCTG268; Marinobacter sp. MCTG268; Marinobacter algicola; Marinobacter; Marinobacter sp. MCTG268; Marinobacter algicola DG893; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter salarius; Marinobacter algicola; Marinobacter salarius; Marinobacter algicola DG893; Marinobacter algicola DG893; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter salarius; Marinobacter; Marinobacter halotolerans; Marinobacter sp. JB02H27; Marinobacter sp.; Marinobacter sp. PJ-16; Marinobacter sp. JB02H27; Marinobacter sp. es.048; Marinobacter; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter adhaerens; Marinobacter adhaerens; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp. DS40M8; Marinobacter algicola; Marinobacter sp.; Marinobacter sp. DS40M8; Marinobacter salarius; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp. DS40M8; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola DG893; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp. NP-6; Marinobacter sp. HL-58; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; 
Contig_source1382A_315,134057,0.8429250244299068,Unknown,55.680046547364185,95.30088495575221,Arhodomonas sp. KWT; Marinobacter sp. M3-13; Marinobacter sp. ES-1; Marinobacter sp. ES-1; Marinobacter sp. ES-1; Marinobacter daqiaonensis; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Neptuniibacter marinus; Marinobacter sp. YWL01; Marinobacter sp. YWL01; Marinobacter sp. YWL01; Marinobacter sp. YWL01; Marinobacter sp. YWL01; Marinobacter sp. YWL01; Marinobacter sp. YWL01; Marinobacter sp. YWL01; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp. PJ-16; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; Marinobacter sp. MCTG268; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter sp. NP-6; Marinobacter sp.; Marinobacter sp.; Halomonas meridiana; Marinobacter sp. Z-F4-2; Marinobacter salsuginis; Marinobacter sp. B9-2; Marinobacter salarius; Marinobacter salsuginis; Marinobacter sp.; Gammaproteobacteria; Gammaproteobacteria; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Alteromonadaceae bacterium; Alteromonadaceae bacterium; Alteromonadaceae bacterium; Alteromonadaceae bacterium; Gammaproteobacteria; Marinobacter; Alteromonadaceae bacterium; Alteromonadaceae bacterium; Alteromonadaceae bacterium; Marinobacter salsuginis; Marinobacter zhanjiangensis; Alteromonadaceae bacterium; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp. NP-6; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola DG893; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter algicola; Marinobacter sp. MCTG268; Marinobacter sp. MCTG268; Marinobacter algicola; Marinobacter sp.; 
Contig_source1382A_478,105844,0.9920260005290806,Unknown,57.61498053739466,97.16095238095238,Marinobacter algicola DG893; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter algicola; NAD(P)H; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; unclassified Marinobacter; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; Marinobacter sp. NP-6; Marinobacter; Marinobacter sp.; Marinobacter sp. C18; Marinobacter; Marinobacter sp.; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter salarius; Marinobacter salarius; Marinobacter salarius; Marinobacter guineae; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter algicola; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp. NP-4(2019); Marinobacter sp. JB02H27; Marinobacter sp. NP-4(2019); Marinobacter sp. NP-4(2019); Marinobacter halodurans; Marinobacter sp. JB02H27; Marinobacter sp. NP-4(2019); Marinobacter sp. NP-4(2019); Marinobacter sp. NP-4(2019); Marinobacter sp. NP-4(2019); Marinobacter sp. NP-4(2019); Marinobacter sp. NP-4(2019); Marinobacter; Marinobacter sp. C18; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter algicola DG893; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter; Marinobacter salarius; unclassified Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Marinobacter salarius; Marinobacter salarius; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. JB02H27; Marinobacter sp.; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter; (5-phosphoribosylamino)methylideneamino; Marinobacter; Gammaproteobacteria; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; 
Contig_source1382A_535,100981,0.9209653301116052,Unknown,58.339687664016004,97.16881720430108,Rhodobacter sp. HX-7-19; Marinobacter algicola; Marinobacter algicola DG893; Haliea sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter salarius; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter; Marinobacter; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter salarius; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter sp. HL-58; Marinobacter sp. MCTG268; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter algicola DG893; Marinobacter; 
Contig_source1382A_619,93587,0.9509867823522498,Unknown,57.612702618953485,95.3932584269663,Marinobacter; Marinobacter sp.; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp.; Marinobacter sp. W62; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola DG893; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter; unclassified Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp. DS40M8; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp. Arc7-DN-1; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Saprospirales bacterium TMED214; Marinobacter sp. ZYF650; Marinobacter sp.; Marinobacter sp.; Saprospirales bacterium TMED214; Marinobacter sp. ZYF650; Marinobacter sp. ZYF650; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Saprospirales bacterium TMED214; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; 
Contig_source1382A_670,88976,0.9553137924833663,Unknown,56.859153030030576,98.09058823529412,unclassified Marinobacter; unclassified Marinobacter; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp. ELB17; unclassified Marinobacter; unclassified Marinobacter; unclassified Marinobacter; unclassified Marinobacter; unclassified Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter algicola DG893; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter halotolerans; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter salarius; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter algicola; Marinobacter; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter halotolerans; Marinobacter salarius; Marinobacter sp.; Marinobacter algicola DG893; Marinobacter sp.; unclassified Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter algicola; Marinobacter salarius; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; 
Contig_source1382A_736,84166,0.9029774493263313,Unknown,57.56481239455362,96.37236842105263,Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter salarius; Alcanivorax sp.; Marinobacter sp.; Marinobacter algicola; unclassified Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter salarius; Marinobacter; Marinobacter salarius; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter algicola; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. MCTG268; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Achromobacter xylosoxidans; Halomonas elongata; Halomonas sp. KHS3; Marinobacter sp.; Halomonas sp. KHS3; Halomonas titanicae; 
Contig_source1382A_903,75728,0.871540249313332,Unknown,53.5931227551236,94.21515151515152,Marinobacter; Marinobacter sp. W62; Marinobacter sp. HL-58; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Marinobacter algicola DG893; Marinobacter salarius; Marinobacter sp.; Marinobacter; Marinobacter sp.; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter salarius; Marinobacter; Marinobacter salarius; Marinobacter algicola; Marinobacter; Marinobacter algicola; Marinobacter algicola; Marinobacter algicola; Marinobacter; Marinobacter; Marinobacter salarius; Marinobacter salarius; Marinobacter sp. JB02H27; Marinobacter lipolyticus; Marinobacter salarius; Marinobacter salarius; Marinobacter sp.; Marinobacter salarius; Marinobacter sp.; Marinobacter sp. JB02H27; Marinobacter sp.; Marinobacter algicola; Marinobacter; Marinobacter; Marinobacter; Marinobacter algicola; Marinobacter sp. HL-58; Marinobacter salarius; Marinobacter; Marinobacter; Marinobacter algicola; Marinobacter; Marinobacter; unclassified Marinobacter; Aliikangiella marina; Marinobacter sp.; Marinobacter sp.; Marinobacter sp.; Aliikangiella sp. M105; Aliikangiella sp. G2MR2-5; Aliikangiella sp. G2MR2-5; Aliikangiella sp. G2MR2-5; Colwellia sp.; Marinobacter sp.; Marinobacter sp.; Ectothiorhodospiraceae bacterium; Ectothiorhodospiraceae bacterium; Marinobacter sp.; Ectothiorhodospiraceae bacterium; 
