contig,contig_length,hits_per_contig,cov,GC-content,Average_AAI,closest_blast_hits
QBDW01000001.1,3435,0.0017467248908296944,Unknown,0.5874818049490539,99.43333333333334,Candidatus Tremblaya princeps; Candidatus Tremblaya princeps; Candidatus Tremblaya princeps; Candidatus Tremblaya princeps; Candidatus Tremblaya princeps; Candidatus Tremblaya princeps; 
QBDW01000002.1,10978,0.0004554563672800146,Unknown,0.3093459646565859,97.56,Candidatus Doolittlea endobia; Candidatus Doolittlea endobia; Candidatus Doolittlea endobia; Candidatus Doolittlea endobia; Candidatus Doolittlea endobia; 
QBDW01000003.1,275737,0.00015594570188259103,Unknown,0.3069229011703181,70.41395348837209,Halyomorpha halys; Bemisia tabaci; Blattella germanica; Sipha flava; Nilaparvata lugens; Drosophila virilis; Nilaparvata lugens; Sipha flava; Biomphalaria glabrata; Onthophagus taurus; Drosophila ananassae; Diaphorina citri; Zootermopsis nevadensis; Tribolium castaneum; Anoplophora glabripennis; Dufourea novaeangliae; Diachasma alloeum; Dermestes sp. CSR089; Microplitis demolitor; Culex quinquefasciatus; Stegodyphus mimosarum; Nilaparvata lugens; Zootermopsis nevadensis; Microplitis demolitor; Frankliniella occidentalis; Diaphorina citri; Pediculus humanus corporis; Linepithema humile; Eurytemora affinis; Nilaparvata lugens; Apis florea; Wasmannia auropunctata; Maconellicoccus hirsutus; Blattella germanica; Nilaparvata lugens; Bemisia tabaci; Diuraphis noxia; Bemisia tabaci; Bemisia tabaci; Cimex lectularius; Camponotus floridanus; Nicrophorus vespilloides; Pseudomyrmex gracilis; 
QBDW01000004.1,34638,0.0,Unknown,0.24836884346671287,NA,
QBDW01000005.1,10785,0.0,Unknown,0.24061196105702365,NA,
QBDW01000006.1,5221,0.0001915341888527102,Unknown,0.388622869182149,36.7,Glypta fumiferanae; 
QBDW01000007.1,56998,1.754447524474543e-05,Unknown,0.30622127092178675,74.1,Nilaparvata lugens; 
QBDW01000008.1,67485,0.00013336296954878863,Unknown,0.23291101726309552,78.03333333333333,Nilaparvata lugens; Nilaparvata lugens; Folsomia candida; Frankliniella occidentalis; Nilaparvata lugens; Trichogramma pretiosum; Cryptotermes secundus; Diaphorina citri; Zootermopsis nevadensis; 
QBDW01000009.1,6765,0.00029563932002956393,Unknown,0.29460458240946047,27.950000000000003,Rhopalosiphum maidis; Rhopalosiphum maidis; 
QBDW01000010.1,2671,0.0,Unknown,0.0861100711344066,NA,
QBDW01000011.1,4241,0.0002357934449422306,Unknown,0.3671303937750531,59.4,Camponotus floridanus; 
QBDW01000012.1,23904,4.183400267737617e-05,Unknown,0.22849732262382866,66.0,Pediculus humanus corporis; 
QBDW01000013.1,7575,0.0,Unknown,0.2337953795379538,NA,
QBDW01000014.1,108160,0.00013868343195266273,Unknown,0.2614367603550296,66.35333333333334,Sipha flava; Helicoverpa armigera; Homarus americanus; Notechis scutatus; Toxocara canis; Melopsittacus undulatus; Diuraphis noxia; Danaus plexippus plexippus; Drosophila ananassae; Musca domestica; Megachile rotundata; Solenopsis invicta; Plutella xylostella; Plutella xylostella; Sipha flava; 
QBDW01000015.1,12719,7.862253321802028e-05,Unknown,0.23610346725371492,57.8,Acyrthosiphon pisum; 
QBDW01000016.1,60132,1.663008048958957e-05,Unknown,0.23237211468103505,80.3,Bemisia tabaci; 
QBDW01000017.1,55956,1.78711845021088e-05,Unknown,0.24522839373793695,45.6,Sipha flava; 
QBDW01000018.1,27041,3.698088088458267e-05,Unknown,0.2661513997263415,35.6,Solemya velum gill symbiont; 
QBDW01000019.1,90680,9.925011027790031e-05,Unknown,0.2943758270842523,50.111111111111114,Melanaphis sacchari; Trichomalopsis sarcophagae; Atta colombica; Bombyx mori; Heliothis virescens; Atta cephalotes; Acromyrmex echinatior; Diachasma alloeum; Heliothis virescens; 
QBDW01000020.1,10338,0.0,Unknown,0.24260011607661056,NA,
QBDW01000021.1,14796,0.00013517166801838335,Unknown,0.3202892673695593,42.25,Drosophila bipectinata; Solenopsis invicta; 
QBDW01000022.1,33842,0.0004432362153537025,Unknown,0.2735653921163052,63.82,Pogonomyrmex barbatus; Zootermopsis nevadensis; Zootermopsis nevadensis; Ceratosolen solmsi marchali; Bemisia tabaci; Diachasma alloeum; Ceratina calcarata; Bemisia tabaci; Zootermopsis nevadensis; Pristhesancus plagipennis; Riptortus pedestris; Ornithorhynchus anatinus; Agrilus planipennis; Anoplophora glabripennis; Zootermopsis nevadensis; 
QBDW01000023.1,153197,0.00012402331638348009,Unknown,0.3169970691332076,73.13684210526316,Bemisia tabaci; Aethina tumida; Cryptotermes secundus; Cryptotermes secundus; Trichogramma pretiosum; Dendroctonus ponderosae; Sipha flava; Cimex lectularius; Bemisia tabaci; Nilaparvata lugens; Bemisia tabaci; Diaphorina citri; Cimex lectularius; Cimex lectularius; Bemisia tabaci; Bemisia tabaci; Halyomorpha halys; Nilaparvata lugens; Bemisia tabaci; 
QBDW01000024.1,40521,9.871424693368871e-05,Unknown,0.29698181190000245,66.05,Capitella teleta; Halyomorpha halys; Pomacea canaliculata; Nilaparvata lugens; 
QBDW01000025.1,66925,2.9884198729921554e-05,Unknown,0.23590586477400075,75.65,Nilaparvata lugens; Cimex lectularius; 
